study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,Test_Phase.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,TestText.stopped,Test_Phase.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
police,0,0,0,1.011111111,4.0349017,,,,,,,,,,,,0,0,0,12,,,,,0.0277243,,0.0163257,0.0277243,0.0277243,4.0666224,1.011111111,4.0349017,,,,,,,,,,,,,,,,324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
mouse,1,1,0,1.02962963,1.1637016,,,,,,,,,,,,0,1,1,8,,,,,4.0824283,,4.0700607,4.0824283,4.0824283,5.2497409,1.02962963,1.1637016,,,,,,,,,,,,,,,,324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
chart,2,2,0,1,0.9110098,,,,,,,,,,,,0,2,2,6,,,,,5.2654317,,5.2560287,5.2654317,5.2654317,6.1831207,1,0.9110098,,,,,,,,,,,,,,,,324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
book,3,3,0,1,2.0968519,,,,,,,,,,,,0,3,3,0,,,,,6.1988938,,6.1865825,6.1988938,6.1988938,8.299641,1,2.0968519,,,,,,,,,,,,,,,,324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
tshirt,4,4,0,1,0.8469513,,,,,,,,,,,,0,4,4,7,,,,,8.3156641,,8.3030091,8.3156641,8.3156641,9.1663538,1,0.8469513,,,,,,,,,,,,,,,,324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
marble,5,5,0,1,2.3280281,,,,,,,,,,,,0,5,5,3,,,,,9.1846411,,9.1717767,9.1846411,9.1846411,11.5156774,1,2.3280281,,,,,,,,,,,,,,,,324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
cruise,6,6,0,1,0.8483823,,,,,,,,,,,,0,6,6,11,,,,,11.5317197,,11.5190232,11.5317197,11.5317197,12.3825161,1,0.8483823,,,,,,,,,,,,,,,,324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
pastry,7,7,0,1,0.8454538,,,,,,,,,,,,0,7,7,9,,,,,12.3983795,,12.3878442,12.3983795,12.3983795,13.2492096,1,0.8454538,,,,,,,,,,,,,,,,324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
cushion,8,8,0,1,1.7449903,,,,,,,,,,,,0,8,8,1,,,,,13.2649445,,13.254317,13.2649445,13.2649445,15.015424,1,1.7449903,,,,,,,,,,,,,,,,324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
phone,9,9,0,1,0.947024,,,,,,,,,,,,0,9,9,2,,,,,15.0312461,,15.0189992,15.0312461,15.0312461,15.9820811,1,0.947024,,,,,,,,,,,,,,,,324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
board,10,10,0,1,0.9287388,,,,,,,,,,,,0,10,10,4,,,,,15.9977446,,15.9870252,15.9977446,15.9977446,16.9318371,1,0.9287388,,,,,,,,,,,,,,,,324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
case,11,11,0,1,0.832228,,,,,,,,,,,,0,11,11,10,,,,,16.9478634,,16.9345548,16.9478634,16.9478634,17.7817663,1,0.832228,,,,,,,,,,,,,,,,324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
poster,12,12,0,1,0.7639263,,,,,,,,,,,,0,12,12,14,,,,,17.7978398,,17.7851224,17.7978398,17.7978398,18.5652964,1,0.7639263,,,,,,,,,,,,,,,,324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
keys,13,13,0,1.025925926,1.5806617,,,,,,,,,,,,0,13,13,13,,,,,18.5810455,,18.5682513,18.5810455,18.5810455,20.1648043,1.025925926,1.5806617,,,,,,,,,,,,,,,,324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
