study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,Test_Phase.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,Test_Phase.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,TestText.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
police,0,0,0,1.048148148,1.3673589,,,,,,,,,,,,0,0,0,12,,,,,0.0420001,,0.0249765,0.0420001,0.0420001,1.4121251,1.048148148,1.3673589,,,,,,,,,,,,,,,,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
board,1,1,0,1,0.9056105,,,,,,,,,,,,0,1,1,4,,,,,1.4423905,,1.423957,1.4423905,1.4423905,2.3453882,1,0.9056105,,,,,,,,,,,,,,,,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
pastry,2,2,0,1,0.8126704,,,,,,,,,,,,0,2,2,9,,,,,2.3619906,,2.3508935,2.3619906,2.3619906,3.1789715,1,0.8126704,,,,,,,,,,,,,,,,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
case,3,3,0,1,0.8653715,,,,,,,,,,,,0,3,3,10,,,,,3.1947444,,3.1820214,3.1947444,3.1947444,4.0622203,1,0.8653715,,,,,,,,,,,,,,,,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
laptop,4,4,0,1,0.7916155,,,,,,,,,,,,0,4,4,5,,,,,4.1295526,,4.1207427,4.1295526,4.1295526,4.9278599,1,0.7916155,,,,,,,,,,,,,,,,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
cushion,5,5,0,1,0.861808,,,,,,,,,,,,0,5,5,1,,,,,4.9434512,,4.9331035,4.9434512,4.9434512,5.8111904,1,0.861808,,,,,,,,,,,,,,,,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
tshirt,6,6,0,1,0.8639812,,,,,,,,,,,,0,6,6,7,,,,,5.8268448,,5.8142473,5.8268448,5.8268448,6.6943571,1,0.8639812,,,,,,,,,,,,,,,,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
mouse,7,7,0,1,0.946803,,,,,,,,,,,,0,7,7,8,,,,,6.710094,,6.6980812,6.710094,6.710094,7.6611429,1,0.946803,,,,,,,,,,,,,,,,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
marble,8,8,0,1,0.8304662,,,,,,,,,,,,0,8,8,3,,,,,7.6768261,,7.6642397,7.6768261,7.6768261,8.5109212,1,0.8304662,,,,,,,,,,,,,,,,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
keys,9,9,0,1,0.7971781,,,,,,,,,,,,0,9,9,13,,,,,8.526767,,8.5141667,8.526767,8.526767,9.3272788,1,0.7971781,,,,,,,,,,,,,,,,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
phone,10,10,0,1,0.8310057,,,,,,,,,,,,0,10,10,2,,,,,9.3429854,,9.330325,9.3429854,9.3429854,10.1773932,1,0.8310057,,,,,,,,,,,,,,,,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
chart,11,11,0,1,0.847056,,,,,,,,,,,,0,11,11,6,,,,,10.1930929,,10.1807198,10.1930929,10.1930929,11.0438449,1,0.847056,,,,,,,,,,,,,,,,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
poster,12,12,0,1,0.913794,,,,,,,,,,,,0,12,12,14,,,,,11.0595094,,11.0473165,11.0595094,11.0595094,11.9768165,1,0.913794,,,,,,,,,,,,,,,,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
book,13,13,0,1,0.8481905,,,,,,,,,,,,0,13,13,0,,,,,11.992933,,11.9795017,11.992933,11.992933,12.8436565,1,0.8481905,,,,,,,,,,,,,,,,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
cruise,14,14,0,1,0.8151024,,,,,,,,,,,,0,14,14,11,,,,,12.859452,,12.8465428,12.859452,12.859452,13.6771741,1,0.8151024,,,,,,,,,,,,,,,,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
,0,0,0,,,c_s_,case,old,case,[np.float64(0.11944444444444445)],[np.float64(-0.3074074074074074)],[1],[0],[0],[7.500375600066036],['submit_text'],,,,,0,0,0,5,13.7081103,,,,,,,,13.6920327,13.7081103,13.7081103,13.7081103,0.014858,21.1926772,case,[np.float64(0.11944444444444445)],[np.float64(-0.3074074074074074)],[1],[0],[0],[7.500375600066036],['submit_text'],,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
,1,1,0,,,v_s_,vase,new,vase,[np.float64(0.041666666666666664)],[np.float64(-0.2962962962962963)],[1],[0],[0],[2.6630237998906523],['submit_text'],,,,,0,1,1,17,21.2084039,,,,,,,,21.1968573,21.2084039,21.2084039,21.2084039,0.0040608,23.8602255,vase,[np.float64(0.041666666666666664)],[np.float64(-0.2962962962962963)],[1],[0],[0],[2.6630237998906523],['submit_text'],,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
,2,2,0,,,_oo_,book,old,book,[np.float64(0.05185185185185185)],[np.float64(-0.29907407407407405)],[1],[0],[0],[3.5812033999245614],['submit_text'],,,,,0,2,2,13,23.875788,,,,,,,,23.8638431,23.875788,23.875788,23.875788,0.0034205,27.4454499,book,[np.float64(0.05185185185185185)],[np.float64(-0.29907407407407405)],[1],[0],[0],[3.5812033999245614],['submit_text'],,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
,3,3,0,,,_o_rd,board,old,board,[np.float64(0.05555555555555555)],[np.float64(-0.3138888888888889)],[1],[0],[0],[4.908424000022933],['submit_text'],,,,,0,3,3,10,27.4674843,,,,,,,,27.4506391,27.4674843,27.4674843,27.4674843,0.0049979,32.35944,board,[np.float64(0.05555555555555555)],[np.float64(-0.3138888888888889)],[1],[0],[0],[4.908424000022933],['submit_text'],,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
,4,4,0,,,p_st_r,poster,old,poster,[np.float64(0.03611111111111111)],[np.float64(-0.3101851851851852)],[1],[0],[0],[3.794598599895835],['submit_text'],,,,,0,4,4,9,32.377063,,,,,,,,32.3636529,32.377063,32.377063,32.377063,0.0041034,36.1586261,poster,[np.float64(0.03611111111111111)],[np.float64(-0.3101851851851852)],[1],[0],[0],[3.794598599895835],['submit_text'],,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
,5,5,0,,,_a_bl_,marble,old,marble,[np.float64(0.08703703703703704)],[np.float64(-0.30277777777777776)],[1],[0],[0],[4.096270699985325],['submit_text'],,,,,0,5,5,11,36.173825,,,,,,,,36.1618484,36.173825,36.173825,36.173825,0.0031156,40.2584566,marble,[np.float64(0.08703703703703704)],[np.float64(-0.30277777777777776)],[1],[0],[0],[4.096270699985325],['submit_text'],,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
,6,6,0,,,P_s_r_,pastry,old,pastry,[np.float64(0.0824074074074074)],[np.float64(-0.29074074074074074)],[1],[0],[0],[3.762366299983114],['submit_text'],,,,,0,6,6,4,40.2733518,,,,,,,,40.2637147,40.2733518,40.2733518,40.2733518,0.0051298,44.026505,pastry,[np.float64(0.0824074074074074)],[np.float64(-0.29074074074074074)],[1],[0],[0],[3.762366299983114],['submit_text'],,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
,7,7,0,,,p_li_e,police,old,police,[np.float64(0.05277777777777778)],[np.float64(-0.30185185185185187)],[1],[0],[0],[4.724634200101718],['submit_text'],,,,,0,7,7,7,44.0503275,,,,,,,,44.0330241,44.0503275,44.0503275,44.0503275,0.0063435,48.7582144,police,[np.float64(0.05277777777777778)],[np.float64(-0.30185185185185187)],[1],[0],[0],[4.724634200101718],['submit_text'],,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
,8,8,0,,,_r_i_e,cruise,old,cruise,[np.float64(0.07037037037037037)],[np.float64(-0.30277777777777776)],[1],[0],[0],[5.912055700086057],['submit_text'],,,,,0,8,8,6,48.7736121,,,,,,,,48.7614764,48.7736121,48.7736121,48.7736121,0.003152,54.6739487,cruise,[np.float64(0.07037037037037037)],[np.float64(-0.30277777777777776)],[1],[0],[0],[5.912055700086057],['submit_text'],,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
,9,9,0,,,bo_t_e,bottle ,new,bottle,[np.float64(0.05740740740740741)],[np.float64(-0.2898148148148148)],[1],[0],[0],[3.9481945999432355],['submit_text'],,,,,0,9,9,18,54.6892776,,,,,,,,54.6773367,54.6892776,54.6892776,54.6892776,0.0031386,58.6259773,bottle,[np.float64(0.05740740740740741)],[np.float64(-0.2898148148148148)],[1],[0],[0],[3.9481945999432355],['submit_text'],,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
,10,10,0,,,_o_se,mouse,old,moose,[np.float64(0.09722222222222222)],[np.float64(-0.30925925925925923)],[1],[0],[0],[9.07303660013713],['submit_text'],,,,,0,10,10,3,58.651584,,,,,,,,58.6325293,58.651584,58.651584,58.651584,0.006354,67.70678,moose,[np.float64(0.09722222222222222)],[np.float64(-0.30925925925925923)],[1],[0],[0],[9.07303660013713],['submit_text'],,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
,11,11,0,,,c_s_io_,cushion,old,cushion,[np.float64(0.09166666666666666)],[np.float64(-0.3111111111111111)],[1],[0],[0],[6.841850199969485],['submit_text'],,,,,0,11,11,14,67.7351624,,,,,,,,67.7184348,67.7351624,67.7351624,67.7351624,0.0110632,74.56169,cushion,[np.float64(0.09166666666666666)],[np.float64(-0.3111111111111111)],[1],[0],[0],[6.841850199969485],['submit_text'],,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
,12,12,0,,,ta_l_,table,new,tabla,[np.float64(0.12407407407407407)],[np.float64(-0.31203703703703706)],[1],[0],[0],[6.550109699834138],['submit_text'],,,,,0,12,12,15,74.584743,,,,,,,,74.5709836,74.584743,74.584743,74.584743,0.0088503,81.1215629,tabla,[np.float64(0.12407407407407407)],[np.float64(-0.31203703703703706)],[1],[0],[0],[6.550109699834138],['submit_text'],,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
,13,13,0,,,p_nc_l,pencil,new,pencil,[np.float64(0.05462962962962963)],[np.float64(-0.29074074074074074)],[1],[0],[0],[4.260359599953517],['submit_text'],,,,,0,13,13,16,81.1402856,,,,,,,,81.1271338,81.1402856,81.1402856,81.1402856,0.0054632,85.387952,pencil,[np.float64(0.05462962962962963)],[np.float64(-0.29074074074074074)],[1],[0],[0],[4.260359599953517],['submit_text'],,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
,14,14,0,,,t_hi_t,tshirt,old,tshirt,[np.float64(0.040740740740740744)],[np.float64(-0.2722222222222222)],[1],[0],[0],[3.779959299834445],['submit_text'],,,,,0,14,14,2,85.4050653,,,,,,,,85.3905859,85.4050653,85.4050653,85.4050653,0.002522,89.1710898,tshirt,[np.float64(0.040740740740740744)],[np.float64(-0.2722222222222222)],[1],[0],[0],[3.779959299834445],['submit_text'],,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
,15,15,0,,,l_pt_p,laptop,old,laptop,[np.float64(0.15648148148148147)],[np.float64(-0.31296296296296294)],[1],[0],[0],[3.3910772998351604],['submit_text'],,,,,0,15,15,0,89.1935975,,,,,,,,89.1792262,89.1935975,89.1935975,89.1935975,0.0079239,92.571032,laptop,[np.float64(0.15648148148148147)],[np.float64(-0.31296296296296294)],[1],[0],[0],[3.3910772998351604],['submit_text'],,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
,16,16,0,,,_ha_t,chart,old,shaft,[np.float64(0.13703703703703704)],[np.float64(-0.2962962962962963)],[1],[0],[0],[13.376171100186184],['submit_text'],,,,,0,16,16,1,92.58738,,,,,,,,92.5753395,92.58738,92.58738,92.58738,0.0040294,105.9519063,shaft,[np.float64(0.13703703703703704)],[np.float64(-0.2962962962962963)],[1],[0],[0],[13.376171100186184],['submit_text'],102.6009027,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
,17,17,0,,,c_m_ra,camera,new,camera,[np.float64(0.046296296296296294)],[np.float64(-0.3)],[1],[0],[0],[3.546094400109723],['submit_text'],,,,,0,17,17,19,105.9677455,,,,,,,,105.9551168,105.9677455,105.9677455,105.9677455,0.0031012,109.5016478,camera,[np.float64(0.046296296296296294)],[np.float64(-0.3)],[1],[0],[0],[3.546094400109723],['submit_text'],,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
,18,18,0,,,_ho_e,phone,old,shoe,[np.float64(0.09074074074074075)],[np.float64(-0.2833333333333333)],[1],[0],[0],[18.860105199972168],['submit_text'],,,,,0,18,18,12,109.5206133,,,,,,,,109.5068234,109.5206133,109.5206133,109.5206133,0.0050183,128.3674658,shoe,[np.float64(0.09074074074074075)],[np.float64(-0.2833333333333333)],[1],[0],[0],[18.860105199972168],['submit_text'],119.5319297,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
,19,19,0,,,k_y_,keys,old,keys,"[np.float64(0.011111111111111112), np.float64(0.044444444444444446)]","[np.float64(-0.2037037037037037), np.float64(-0.30833333333333335)]","[1, 1]","[0, 0]","[0, 0]","[4.810305700171739, 5.876786299981177]","[None, 'submit_text']",,,,,0,19,19,8,128.3861096,,,,,,,,128.3714753,128.3861096,128.3861096,128.3861096,0.0038165,134.248789,keys,"[np.float64(0.011111111111111112), np.float64(0.044444444444444446)]","[np.float64(-0.2037037037037037), np.float64(-0.30833333333333335)]","[1, 1]","[0, 0]","[0, 0]","[4.810305700171739, 5.876786299981177]","[None, 'submit_text']",,4,1,2025-10-14_09h50.36.514,word priming,,2025.1.1,60.15106342,2025-10-14 09h50.57.289825 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,p(hits)old,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,p(hits)n,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,priming,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
