delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation2.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0.4,1000,exp,0,0,0,space,0.5687094,None,200,1,[8.727677499991842],[8.727686300000641],0,0,0,10,0.0239925,,0.0198453,0.0239925,1.014828,1.014828,1.0310738,1.6996922,space,0.5687094,None,1.7004203,0.4149249,0.7147743,2.4315448,2.433712,2.5063711,2.5063711,2.5063711,11.2344086,200,1,[8.727677499991842],[8.727686300000641],1,1,2025-10-21_19h07.32.983,intentional_binding_exp,,2025.1.1,60.24956575,2025-10-21 19h07.44.775889 +0530
0.7,1000,exp,1,1,0,space,1.8472843,None,400,1,[6.637814699992305],[6.637821999989683],0,1,1,11,11.2465289,,11.2347383,11.2465289,12.2465379,12.2465379,12.2465379,14.0984884,space,1.8472843,None,14.1011234,0.7147318,1.0145357,15.1304026,15.1313334,15.1585525,15.1585525,15.1585525,21.7967491,400,1,[6.637814699992305],[6.637821999989683],1,1,2025-10-21_19h07.32.983,intentional_binding_exp,,2025.1.1,60.24956575,2025-10-21 19h07.44.775889 +0530
0.7,400,unexp,2,2,0,space,1.6485793,None,500,1,[4.012036200001603],[4.0120470999972895],0,2,2,2,21.8119154,,21.7969952,21.8119154,22.8120245,22.8120245,22.8120245,24.4632356,space,1.6485793,None,24.4649227,0.6990127,0.9989451,25.4799255,25.4808175,25.5175177,25.5175177,25.5175177,29.5301077,500,1,[4.012036200001603],[4.0120470999972895],1,1,2025-10-21_19h07.32.983,intentional_binding_exp,,2025.1.1,60.24956575,2025-10-21 19h07.44.775889 +0530
0.7,1000,exp,3,3,0,space,1.5634243,None,400,1,[8.466045300010592],[8.466052200004924],0,3,3,8,29.5449222,,29.53046,29.5449222,30.544561,30.544561,30.544561,32.1117481,space,1.5634243,None,32.1128103,0.6992609,0.9990815,33.128806,33.1292364,33.1450399,33.1450399,33.1450399,41.6114045,400,1,[8.466045300010592],[8.466052200004924],1,1,2025-10-21_19h07.32.983,intentional_binding_exp,,2025.1.1,60.24956575,2025-10-21 19h07.44.775889 +0530
0.1,1000,exp,4,4,0,space,0.5949573,None,200,1,[5.897888400009833],[5.897895000001881],0,4,4,9,41.626748,,41.6116117,41.626748,42.6271702,42.6271702,42.6271702,43.227834,space,0.5949573,None,43.2293849,0.0990364,0.3990911,43.6394445,43.6400859,43.6624106,43.6624106,43.6624106,49.56062,200,1,[5.897888400009833],[5.897895000001881],1,1,2025-10-21_19h07.32.983,intentional_binding_exp,,2025.1.1,60.24956575,2025-10-21 19h07.44.775889 +0530
0.4,1000,exp,5,5,0,space,0.3244755,None,200,1,[2.7557585000176914],[2.755774699995527],0,5,5,4,49.5761442,,49.5608512,49.5761442,50.5758546,50.5758546,50.5758546,50.9102846,space,0.3244755,None,50.9120611,0.4153581,0.7153233,51.6421973,51.6425344,51.6543944,51.6543944,51.6543944,54.4109219,200,1,[2.7557585000176914],[2.755774699995527],1,1,2025-10-21_19h07.32.983,intentional_binding_exp,,2025.1.1,60.24956575,2025-10-21 19h07.44.775889 +0530
0.1,1000,exp,6,6,0,space,0.3732834,None,100,1,[4.217990600009216],[4.21799760000431],0,6,6,6,54.4253667,,54.4114017,54.4253667,55.4255967,55.4255967,55.4255967,55.809175,space,0.3732834,None,55.8100481,0.099687,0.3998861,56.219126,56.2200478,56.2584458,56.2584458,56.2584458,60.4767621,100,1,[4.217990600009216],[4.21799760000431],1,1,2025-10-21_19h07.32.983,intentional_binding_exp,,2025.1.1,60.24956575,2025-10-21 19h07.44.775889 +0530
0.1,400,unexp,7,7,0,space,0.3636302,None,400,1,[3.8575243999948725],[3.8575337999791373],0,7,7,0,60.4916716,,60.4770126,60.4916716,61.4914032,61.4914032,61.4914032,61.8595257,space,0.3636302,None,61.8618066,0.0990744,0.3991532,62.2714796,62.2728054,62.3181841,62.3181841,62.3181841,66.1762682,400,1,[3.8575243999948725],[3.8575337999791373],1,1,2025-10-21_19h07.32.983,intentional_binding_exp,,2025.1.1,60.24956575,2025-10-21 19h07.44.775889 +0530
0.7,1000,exp,8,8,0,space,0.423868,None,300,1,[3.2491794000088703],[3.2491940000036266],0,8,8,5,66.1910753,,66.176714,66.1910753,67.1912419,67.1912419,67.1912419,67.6255349,space,0.423868,None,67.6281069,0.6991542,0.9991286,68.6423832,68.6434026,68.6766429,68.6766429,68.6766429,71.9263491,300,1,[3.2491794000088703],[3.2491940000036266],1,1,2025-10-21_19h07.32.983,intentional_binding_exp,,2025.1.1,60.24956575,2025-10-21 19h07.44.775889 +0530
0.4,400,unexp,9,9,0,space,0.3284047,None,500,1,[3.735688199987635],[3.735702500009211],0,9,9,1,71.9405696,,71.9267836,71.9405696,72.940647,72.940647,72.940647,73.2748794,space,0.3284047,None,73.2784065,0.4151261,0.7156809,74.0022568,74.0031569,74.0387056,74.0387056,74.0387056,77.7749976,500,1,[3.735688199987635],[3.735702500009211],1,1,2025-10-21_19h07.32.983,intentional_binding_exp,,2025.1.1,60.24956575,2025-10-21 19h07.44.775889 +0530
0.4,1000,exp,10,10,0,space,0.3246266,None,200,1,[3.58721319999313],[3.587220499990508],0,10,10,7,77.7897175,,77.7760046,77.7897175,78.7898651,78.7898651,78.7898651,79.1235488,space,0.3246266,None,79.1244585,0.3998943,0.6997333,79.8430092,79.8439198,79.8702481,79.8702481,79.8702481,83.4577664,200,1,[3.58721319999313],[3.587220499990508],1,1,2025-10-21_19h07.32.983,intentional_binding_exp,,2025.1.1,60.24956575,2025-10-21 19h07.44.775889 +0530
0.1,1000,exp,11,11,0,space,0.5177198,None,100,1,[2.4967697999964003],[2.4967808999936096],0,11,11,3,83.4729109,,83.4580779,83.4729109,84.4728494,84.4728494,84.4728494,85.0094072,space,0.5177198,None,85.0111645,0.113008,0.4131209,85.4400298,85.4409678,85.4767123,85.4767123,85.4767123,87.9739444,100,1,[2.4967697999964003],[2.4967808999936096],1,1,2025-10-21_19h07.32.983,intentional_binding_exp,,2025.1.1,60.24956575,2025-10-21 19h07.44.775889 +0530
0.1,1000,exp,12,0,1,space,0.2779729,None,100,1,[4.258580199995777],[4.258586599986302],1,0,12,3,87.9888194,,87.9742598,87.9888194,88.9888147,88.9888147,88.9888147,89.2730037,space,0.2779729,None,89.2743991,0.0993144,0.3992525,89.6900445,89.6907666,89.7139214,89.7139214,89.7139214,93.9727924,100,1,[4.258580199995777],[4.258586599986302],1,1,2025-10-21_19h07.32.983,intentional_binding_exp,,2025.1.1,60.24956575,2025-10-21 19h07.44.775889 +0530
0.1,400,unexp,13,1,1,space,0.2625479,None,400,1,[3.5186684000073],[3.518674299994018],1,1,13,0,93.9880894,,93.9729961,93.9880894,94.9879937,94.9879937,94.9879937,95.255506,space,0.2625479,None,95.2571379,0.0995759,0.3992938,95.6715106,95.6721679,95.7033637,95.7033637,95.7033637,99.2222764,400,1,[3.5186684000073],[3.518674299994018],1,1,2025-10-21_19h07.32.983,intentional_binding_exp,,2025.1.1,60.24956575,2025-10-21 19h07.44.775889 +0530
0.1,1000,exp,14,2,1,space,0.838086,None,200,1,[2.614512600004673],[2.6145207999798004],1,2,14,6,99.2376107,,99.2224679,99.2376107,100.2214067,100.2214067,100.2379149,101.0720975,space,0.838086,None,101.073818,0.0990487,0.3990186,101.4822088,101.4831231,101.5068863,101.5068863,101.5068863,104.1218712,200,1,[2.614512600004673],[2.6145207999798004],1,1,2025-10-21_19h07.32.983,intentional_binding_exp,,2025.1.1,60.24956575,2025-10-21 19h07.44.775889 +0530
0.7,1000,exp,15,3,1,space,0.3757747,None,400,1,[2.5163547999982256],[2.5163607000140473],1,3,15,5,104.1372026,,104.1220784,104.1372026,105.1376123,105.1376123,105.1376123,105.5215486,space,0.3757747,None,105.5236332,0.7150819,1.0161624,106.5514932,106.552508,106.5878854,106.5878854,106.5878854,109.1047035,400,1,[2.5163547999982256],[2.5163607000140473],1,1,2025-10-21_19h07.32.983,intentional_binding_exp,,2025.1.1,60.24956575,2025-10-21 19h07.44.775889 +0530
0.4,400,unexp,16,4,1,space,0.348455,None,200,1,[5.649930299987318],[5.649936500005424],1,4,16,1,109.1199331,,109.1048914,109.1199331,110.1198299,110.1198299,110.1198299,110.4705792,space,0.348455,None,110.4717043,0.3992261,0.69934,111.1792999,111.1799316,111.2033977,111.2033977,111.2033977,116.8536448,200,1,[5.649930299987318],[5.649936500005424],1,1,2025-10-21_19h07.32.983,intentional_binding_exp,,2025.1.1,60.24956575,2025-10-21 19h07.44.775889 +0530
0.7,400,unexp,17,5,1,space,0.3051232,None,500,1,[3.0415023999812547],[3.041510799987009],1,5,17,2,116.8693335,,116.8539368,116.8693335,117.869361,117.869361,117.869361,118.1870974,space,0.3051232,None,118.1903764,0.6991478,0.998638,119.2036681,119.2044792,119.2277181,119.2277181,119.2277181,122.2695715,500,1,[3.0415023999812547],[3.041510799987009],1,1,2025-10-21_19h07.32.983,intentional_binding_exp,,2025.1.1,60.24956575,2025-10-21 19h07.44.775889 +0530
0.7,1000,exp,18,6,1,space,0.3185954,None,400,1,[2.0021427999890875],[2.002148799976567],1,6,18,8,122.2854497,,122.269866,122.2854497,123.2685527,123.2685527,123.2853889,123.6024435,space,0.3185954,None,123.6037459,0.6995498,0.9996724,124.6205271,124.6213151,124.6506232,124.6506232,124.6506232,126.6530447,400,1,[2.0021427999890875],[2.002148799976567],1,1,2025-10-21_19h07.32.983,intentional_binding_exp,,2025.1.1,60.24956575,2025-10-21 19h07.44.775889 +0530
0.1,1000,exp,19,7,1,space,0.2586288,None,100,1,[3.0293539999984205],[3.0293865999847185],1,7,19,9,126.6680056,,126.6532618,126.6680056,127.6681216,127.6681216,127.6681216,127.9356351,space,0.2586288,None,127.9371113,0.0992446,0.399017,128.3511744,128.3517702,128.3729549,128.3729549,128.3729549,131.4027174,100,1,[3.0293539999984205],[3.0293865999847185],1,1,2025-10-21_19h07.32.983,intentional_binding_exp,,2025.1.1,60.24956575,2025-10-21 19h07.44.775889 +0530
0.4,1000,exp,20,8,1,space,0.2759891,None,200,1,[2.726888399978634],[2.726901199988788],1,8,20,4,131.4177393,,131.403016,131.4177393,132.4182592,132.4182592,132.4182592,132.7025927,space,0.2759891,None,132.7048329,0.4155071,0.714975,133.4282899,133.4286274,133.441721,133.441721,133.441721,136.1694224,200,1,[2.726888399978634],[2.726901199988788],1,1,2025-10-21_19h07.32.983,intentional_binding_exp,,2025.1.1,60.24956575,2025-10-21 19h07.44.775889 +0530
