thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,Fixation.stopped,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,0,0,up,1,0.5915098,None,0,0,0,0,0,0.007617,,0.0038845,0.007617,1.0465073,1.0465073,1.7415422,up,1,0.5915098,None,0,1,1,2025-09-03_21h54.08.600,orientation discrimination task,,2025.1.1,60.00726088,2025-09-03 21h54.19.745771 +0530
1,0,1,up,0,0.4796279,None,0,1,0,1,0,1.7450774,,1.7417877,1.7450774,2.7598106,2.7429303,3.2280864,up,0,0.4796279,None,0,1,1,2025-09-03_21h54.08.600,orientation discrimination task,,2025.1.1,60.00726088,2025-09-03 21h54.19.745771 +0530
2,0,2,down,0,0.4222277,None,0,2,0,2,0,3.24301,,3.2290399,3.24301,4.2430301,4.2430301,4.6777373,down,0,0.4222277,None,0,1,1,2025-09-03_21h54.08.600,orientation discrimination task,,2025.1.1,60.00726088,2025-09-03 21h54.19.745771 +0530
3,0,3,up,1,0.5904795,None,0,3,0,3,0,4.6929376,,4.6787463,4.6929376,5.6928469,5.6928469,6.2940217,up,1,0.5904795,None,0,1,1,2025-09-03_21h54.08.600,orientation discrimination task,,2025.1.1,60.00726088,2025-09-03 21h54.19.745771 +0530
4,0,4,up,0,0.3430238,None,0,4,0,4,0,6.3095088,,6.2951889,6.3095088,7.3093908,7.3093908,7.6607768,up,0,0.3430238,None,0,1,1,2025-09-03_21h54.08.600,orientation discrimination task,,2025.1.1,60.00726088,2025-09-03 21h54.19.745771 +0530
5,0,5,up,1,0.4815547,None,0,5,0,5,0,7.6761508,,7.661939,7.6761508,8.6761323,8.6761323,9.160819,up,1,0.4815547,None,0,1,1,2025-09-03_21h54.08.600,orientation discrimination task,,2025.1.1,60.00726088,2025-09-03 21h54.19.745771 +0530
6,0,6,up,1,0.4490445,None,0,6,0,6,0,9.1758893,,9.162082,9.1758893,10.1755541,10.1755541,10.628472,up,1,0.4490445,None,0,1,1,2025-09-03_21h54.08.600,orientation discrimination task,,2025.1.1,60.00726088,2025-09-03 21h54.19.745771 +0530
7,0,7,down,1,0.2877298,None,-4,7,0,7,0,10.6424123,,10.6304967,10.6424123,11.6425011,11.6425011,11.943545,down,1,0.2877298,None,-4,1,1,2025-09-03_21h54.08.600,orientation discrimination task,,2025.1.1,60.00726088,2025-09-03 21h54.19.745771 +0530
8,0,8,up,1,0.6244959,None,0,8,0,8,0,11.958991,,11.9446674,11.958991,12.9590978,12.9590978,13.5933411,up,1,0.6244959,None,0,1,1,2025-09-03_21h54.08.600,orientation discrimination task,,2025.1.1,60.00726088,2025-09-03 21h54.19.745771 +0530
9,0,9,down,1,0.6438828,None,1,9,0,9,0,13.6088813,,13.5944587,13.6088813,14.6087903,14.6087903,15.2599814,down,1,0.6438828,None,1,1,1,2025-09-03_21h54.08.600,orientation discrimination task,,2025.1.1,60.00726088,2025-09-03 21h54.19.745771 +0530
10,0,10,down,1,0.6278271,None,-2,10,0,10,0,15.2752946,,15.2612626,15.2752946,16.2746582,16.2746582,16.9092344,down,1,0.6278271,None,-2,1,1,2025-09-03_21h54.08.600,orientation discrimination task,,2025.1.1,60.00726088,2025-09-03 21h54.19.745771 +0530
11,0,11,up,0,0.3684053,None,3,11,0,11,0,16.9249192,,16.9103777,16.9249192,17.9247817,17.9247817,18.3088125,up,0,0.3684053,None,3,1,1,2025-09-03_21h54.08.600,orientation discrimination task,,2025.1.1,60.00726088,2025-09-03 21h54.19.745771 +0530
12,0,12,up,1,0.5150913,None,0,12,0,12,0,18.3245884,,18.3094419,18.3245884,19.3249557,19.3083205,19.8275203,up,1,0.5150913,None,0,1,1,2025-09-03_21h54.08.600,orientation discrimination task,,2025.1.1,60.00726088,2025-09-03 21h54.19.745771 +0530
13,0,13,down,1,0.3580866,None,3,13,0,13,0,19.8415355,,19.829544,19.8415355,20.841491,20.841491,21.2094359,down,1,0.3580866,None,3,1,1,2025-09-03_21h54.08.600,orientation discrimination task,,2025.1.1,60.00726088,2025-09-03 21h54.19.745771 +0530
14,0,14,up,1,0.4839838,None,0,14,0,14,0,21.2247655,,21.2107293,21.2247655,22.2246923,22.2246923,22.7103948,up,1,0.4839838,None,0,1,1,2025-09-03_21h54.08.600,orientation discrimination task,,2025.1.1,60.00726088,2025-09-03 21h54.19.745771 +0530
15,0,15,down,1,0.5175426,None,-4,15,0,15,0,22.724521,,22.7116326,22.724521,23.7245798,23.7245798,24.2585257,down,1,0.5175426,None,-4,1,1,2025-09-03_21h54.08.600,orientation discrimination task,,2025.1.1,60.00726088,2025-09-03 21h54.19.745771 +0530
16,0,16,up,1,0.3426159,None,0,16,0,16,0,24.2743828,,24.2595596,24.2743828,25.2744488,25.2576963,25.6087214,up,1,0.3426159,None,0,1,1,2025-09-03_21h54.08.600,orientation discrimination task,,2025.1.1,60.00726088,2025-09-03 21h54.19.745771 +0530
17,0,17,down,1,0.4206817,None,2,17,0,17,0,25.6242541,,25.6100586,25.6242541,26.6242967,26.6242967,27.0587743,down,1,0.4206817,None,2,1,1,2025-09-03_21h54.08.600,orientation discrimination task,,2025.1.1,60.00726088,2025-09-03 21h54.19.745771 +0530
