thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.43333333333333335)],[np.float64(-0.4787037037037037)],[0],[0],[1],[8.482010900013847],['target'],0,0,0,0,0.049544100009370595,,10,0.03476989999762736,0.049544100009370595,0.049544100009370595,0.03479439998045564,8.516901700000744,[np.float64(0.43333333333333335)],[np.float64(-0.4787037037037037)],[0],[0],[1],[8.482010900013847],['target'],004,001,2025-09-30_20h28.27.084,Visual Search,,2025.1.1,59.99080940785551,2025-09-30 20h28.36.220843 +0530,
1,0,1,"[np.float64(0.43333333333333335), np.float64(-0.07962962962962963)]","[np.float64(-0.4787037037037037), np.float64(-0.03518518518518519)]","[0, 0]","[0, 0]","[1, 1]","[0.000661700003547594, 3.917302699992433]","[None, 'target']",1,0,1,0,8.564758099993924,,10,8.551691000000574,8.564758099993924,8.564758099993924,0.034388800006126985,12.469131399993785,"[np.float64(0.43333333333333335), np.float64(-0.07962962962962963)]","[np.float64(-0.4787037037037037), np.float64(-0.03518518518518519)]","[0, 0]","[0, 0]","[1, 1]","[0.000661700003547594, 3.917302699992433]","[None, 'target']",004,001,2025-09-30_20h28.27.084,Visual Search,,2025.1.1,59.99080940785551,2025-09-30 20h28.36.220843 +0530,
2,0,2,"[np.float64(-0.07962962962962963), np.float64(0.1361111111111111)]","[np.float64(-0.03518518518518519), np.float64(0.32037037037037036)]","[0, 0]","[0, 0]","[1, 1]","[0.0006968000088818371, 3.1555635999829974]","[None, 'target']",2,0,2,0,12.523239300004207,,10,12.50921359998756,12.523239300004207,12.523239300004207,0.03955990000395104,15.66486960000475,"[np.float64(-0.07962962962962963), np.float64(0.1361111111111111)]","[np.float64(-0.03518518518518519), np.float64(0.32037037037037036)]","[0, 0]","[0, 0]","[1, 1]","[0.0006968000088818371, 3.1555635999829974]","[None, 'target']",004,001,2025-09-30_20h28.27.084,Visual Search,,2025.1.1,59.99080940785551,2025-09-30 20h28.36.220843 +0530,
3,0,3,[np.float64(0.25092592592592594)],[np.float64(-0.10277777777777777)],[0],[0],[1],[6.617737799999304],['target'],3,0,3,0,15.692264899989823,,5,15.68314820001251,15.692264899989823,15.692264899989823,0.01794670001254417,22.301032199990004,[np.float64(0.25092592592592594)],[np.float64(-0.10277777777777777)],[0],[0],[1],[6.617737799999304],['target'],004,001,2025-09-30_20h28.27.084,Visual Search,,2025.1.1,59.99080940785551,2025-09-30 20h28.36.220843 +0530,
4,0,4,"[np.float64(0.25092592592592594), np.float64(0.4703703703703704)]","[np.float64(-0.10277777777777777), np.float64(-0.10925925925925926)]","[0, 0]","[0, 0]","[1, 1]","[0.0005631000094581395, 5.397369300015271]","[None, 'target']",4,0,4,0,22.342489700007718,,5,22.333334700000705,22.342489700007718,22.342489700007718,0.03200359997572377,27.730815899994923,"[np.float64(0.25092592592592594), np.float64(0.4703703703703704)]","[np.float64(-0.10277777777777777), np.float64(-0.10925925925925926)]","[0, 0]","[0, 0]","[1, 1]","[0.0005631000094581395, 5.397369300015271]","[None, 'target']",004,001,2025-09-30_20h28.27.084,Visual Search,,2025.1.1,59.99080940785551,2025-09-30 20h28.36.220843 +0530,
5,0,5,"[np.float64(0.4703703703703704), np.float64(-0.4074074074074074)]","[np.float64(-0.10925925925925926), np.float64(0.11944444444444445)]","[0, 0]","[0, 0]","[1, 1]","[0.0005554999806918204, 4.050821199984057]","[None, 'target']",5,0,5,0,27.756334200006677,,5,27.746973200002685,27.756334200006677,27.756334200006677,0.015891299990471452,31.797921899997164,"[np.float64(0.4703703703703704), np.float64(-0.4074074074074074)]","[np.float64(-0.10925925925925926), np.float64(0.11944444444444445)]","[0, 0]","[0, 0]","[1, 1]","[0.0005554999806918204, 4.050821199984057]","[None, 'target']",004,001,2025-09-30_20h28.27.084,Visual Search,,2025.1.1,59.99080940785551,2025-09-30 20h28.36.220843 +0530,
6,0,6,[np.float64(0.20185185185185187)],[np.float64(0.11018518518518519)],[0],[0],[1],[5.058399100002134],['target'],6,0,6,0,31.85285080000176,,10,31.838190400012536,31.85285080000176,31.85285080000176,0.03998370000044815,36.896704899991164,[np.float64(0.20185185185185187)],[np.float64(0.11018518518518519)],[0],[0],[1],[5.058399100002134],['target'],004,001,2025-09-30_20h28.27.084,Visual Search,,2025.1.1,59.99080940785551,2025-09-30 20h28.36.220843 +0530,
7,0,7,[np.float64(0.16666666666666666)],[np.float64(-0.3537037037037037)],[0],[0],[1],[5.254151400004048],['target'],7,0,7,0,36.9411689999979,,10,36.92678400001023,36.9411689999979,36.9411689999979,0.029768000007607043,42.181154799996875,[np.float64(0.16666666666666666)],[np.float64(-0.3537037037037037)],[0],[0],[1],[5.254151400004048],['target'],004,001,2025-09-30_20h28.27.084,Visual Search,,2025.1.1,59.99080940785551,2025-09-30 20h28.36.220843 +0530,
8,0,8,"[np.float64(0.16666666666666666), np.float64(0.3055555555555556)]","[np.float64(-0.3537037037037037), np.float64(0.06018518518518518)]","[0, 0]","[0, 0]","[1, 1]","[0.0008871000027284026, 4.023100899998099]","[None, 'target']",8,0,8,0,42.21688749999157,,5,42.205781099997694,42.21688749999157,42.21688749999157,0.024115500011248514,46.22898139999597,"[np.float64(0.16666666666666666), np.float64(0.3055555555555556)]","[np.float64(-0.3537037037037037), np.float64(0.06018518518518518)]","[0, 0]","[0, 0]","[1, 1]","[0.0008871000027284026, 4.023100899998099]","[None, 'target']",004,001,2025-09-30_20h28.27.084,Visual Search,,2025.1.1,59.99080940785551,2025-09-30 20h28.36.220843 +0530,
9,0,9,"[np.float64(0.3055555555555556), np.float64(0.4166666666666667)]","[np.float64(0.06018518518518518), np.float64(0.14444444444444443)]","[0, 0]","[0, 0]","[1, 1]","[0.0009365000005345792, 2.371934599999804]","[None, 'target']",9,0,9,0,46.27061360000516,,5,46.25699659998645,46.27061360000516,46.27061360000516,0.027726300002541393,48.6291373000131,"[np.float64(0.3055555555555556), np.float64(0.4166666666666667)]","[np.float64(0.06018518518518518), np.float64(0.14444444444444443)]","[0, 0]","[0, 0]","[1, 1]","[0.0009365000005345792, 2.371934599999804]","[None, 'target']",004,001,2025-09-30_20h28.27.084,Visual Search,,2025.1.1,59.99080940785551,2025-09-30 20h28.36.220843 +0530,
