reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
15,35,13,0,0,0,t,6.962631000000016,None,0,0,0,1,0.21119819999998413,,0.20586629999999673,0.21119819999998413,1.0037658999999906,1.0037658999999906,1.0037658999999906,8.098399300000011,t,6.962631000000016,None,01,001,2025-10-27_12h56.22.861,delayed_discount_experiment,,2025.1.1,59.918522792707144,2025-10-27 12h56.31.395504 +0530,
49,60,89,1,1,0,t,3.3615065999999842,None,0,1,1,4,8.111507399999994,,8.108381699999995,8.111507399999994,9.103288800000001,9.103288800000001,9.103288800000001,12.469973600000003,t,3.3615065999999842,None,01,001,2025-10-27_12h56.22.861,delayed_discount_experiment,,2025.1.1,59.918522792707144,2025-10-27 12h56.31.395504 +0530,
27,50,21,2,2,0,t,3.2119347000000005,None,0,2,2,2,12.4963142,,12.491288699999984,12.4963142,13.469365600000003,13.469365600000003,13.469365600000003,16.687895499999996,t,3.2119347000000005,None,01,001,2025-10-27_12h56.22.861,delayed_discount_experiment,,2025.1.1,59.918522792707144,2025-10-27 12h56.31.395504 +0530,
40,55,62,3,3,0,t,1.5647090999999875,None,0,3,3,3,16.710388599999987,,16.705400199999985,16.710388599999987,17.70236890000001,17.70236890000001,17.70236890000001,19.269944699999996,t,1.5647090999999875,None,01,001,2025-10-27_12h56.22.861,delayed_discount_experiment,,2025.1.1,59.918522792707144,2025-10-27 12h56.31.395504 +0530,
67,75,119,4,4,0,t,2.1069035000000156,None,0,4,4,5,19.293017300000002,,19.287533499999995,19.293017300000002,20.285235999999998,20.285235999999998,20.285235999999998,22.403434900000008,t,2.1069035000000156,None,01,001,2025-10-27_12h56.22.861,delayed_discount_experiment,,2025.1.1,59.918522792707144,2025-10-27 12h56.31.395504 +0530,
11,30,7,5,5,0,l,1.778697799999975,None,0,5,5,0,22.425928699999986,,22.41987929999999,22.425928699999986,23.418476199999986,23.418476199999986,23.418476199999986,25.203885200000002,l,1.778697799999975,None,01,001,2025-10-27_12h56.22.861,delayed_discount_experiment,,2025.1.1,59.918522792707144,2025-10-27 12h56.31.395504 +0530,
78,80,162,6,6,0,t,2.507363199999986,None,0,6,6,6,25.226960300000002,,25.220845800000006,25.226960300000002,26.21817569999999,26.21817569999999,26.21817569999999,28.734693700000008,t,2.507363199999986,None,01,001,2025-10-27_12h56.22.861,delayed_discount_experiment,,2025.1.1,59.918522792707144,2025-10-27 12h56.31.395504 +0530,
15,35,13,7,0,1,l,1.685583400000013,None,1,0,7,1,28.750387899999993,,28.741748699999988,28.750387899999993,29.734565900000007,29.734565900000007,29.734565900000007,31.436270399999984,l,1.685583400000013,None,01,001,2025-10-27_12h56.22.861,delayed_discount_experiment,,2025.1.1,59.918522792707144,2025-10-27 12h56.31.395504 +0530,
11,30,7,8,1,1,l,2.149892499999993,None,1,1,8,0,31.461776999999984,,31.456795699999986,31.461776999999984,32.45079469999999,32.45079469999999,32.45079469999999,34.61699239999999,l,2.149892499999993,None,01,001,2025-10-27_12h56.22.861,delayed_discount_experiment,,2025.1.1,59.918522792707144,2025-10-27 12h56.31.395504 +0530,
67,75,119,9,2,1,t,1.8617564999999843,None,1,2,9,5,34.633500999999995,,34.620868400000006,34.633500999999995,35.61727020000001,35.61727020000001,35.61727020000001,37.483746199999985,t,1.8617564999999843,None,01,001,2025-10-27_12h56.22.861,delayed_discount_experiment,,2025.1.1,59.918522792707144,2025-10-27 12h56.31.395504 +0530,
49,60,89,10,3,1,t,2.242598799999996,None,1,3,10,4,37.49985670000001,,37.49208630000001,37.49985670000001,38.4835497,38.4835497,38.4835497,40.733948,t,2.242598799999996,None,01,001,2025-10-27_12h56.22.861,delayed_discount_experiment,,2025.1.1,59.918522792707144,2025-10-27 12h56.31.395504 +0530,
27,50,21,11,4,1,t,4.6588627000000145,None,1,4,11,2,40.750008699999995,,40.7449991,40.750008699999995,41.732956099999996,41.732956099999996,41.732956099999996,46.40079800000001,t,4.6588627000000145,None,01,001,2025-10-27_12h56.22.861,delayed_discount_experiment,,2025.1.1,59.918522792707144,2025-10-27 12h56.31.395504 +0530,
78,80,162,12,5,1,t,1.0762056000000086,None,1,5,12,6,46.4277601,,46.421666999999985,46.4277601,47.4160014,47.4160014,47.4160014,48.5001412,t,1.0762056000000086,None,01,001,2025-10-27_12h56.22.861,delayed_discount_experiment,,2025.1.1,59.918522792707144,2025-10-27 12h56.31.395504 +0530,
40,55,62,13,6,1,t,0.9295399000000089,None,1,6,13,3,48.51546110000001,,48.50923639999999,48.51546110000001,49.515430399999985,49.515430399999985,49.515430399999985,50.4506241,t,0.9295399000000089,None,01,001,2025-10-27_12h56.22.861,delayed_discount_experiment,,2025.1.1,59.918522792707144,2025-10-27 12h56.31.395504 +0530,
27,50,21,14,0,2,l,1.6068876000000216,None,2,0,14,2,50.4780179,,50.470919699999996,50.4780179,51.465588699999984,51.465588699999984,51.465588699999984,53.0836942,l,1.6068876000000216,None,01,001,2025-10-27_12h56.22.861,delayed_discount_experiment,,2025.1.1,59.918522792707144,2025-10-27 12h56.31.395504 +0530,
78,80,162,15,1,2,t,0.9571871999999928,None,2,1,15,6,53.11076539999999,,53.10376210000001,53.11076539999999,54.098695899999996,54.098695899999996,54.098695899999996,55.0665697,t,0.9571871999999928,None,01,001,2025-10-27_12h56.22.861,delayed_discount_experiment,,2025.1.1,59.918522792707144,2025-10-27 12h56.31.395504 +0530,
11,30,7,16,2,2,l,0.7083860000000186,None,2,2,16,0,55.0894912,,55.083587800000004,55.0894912,56.0815188,56.0815188,56.0815188,56.799377899999996,l,0.7083860000000186,None,01,001,2025-10-27_12h56.22.861,delayed_discount_experiment,,2025.1.1,59.918522792707144,2025-10-27 12h56.31.395504 +0530,
