thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,Instructions.stopped,trial.started,Fixation.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,rating.started,slider.started,text_2.started,rating.stopped,trials.slider.response,trials.slider.rt,Thankyou.started,text_3.started,text_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,0.0029971,0.0085528,15.0032731,,,,,,,,,,,,,,,,,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
0,0,0,down,1,1.7622886,None,-4,3.044444444,2.2097659,0,0,0,0,15.021881,,,,,15.0087463,15.021881,16.0177013,16.0224481,17.8050167,down,1,1.7622886,None,-4,17.8087271,17.8286783,17.8286783,20.0351083,3.044444444,2.2097659,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
1,0,1,down,1,1.0022568,None,4,3,1.62882,1,0,1,0,20.0542803,,,,,20.0353551,20.0542803,21.0375849,21.0511436,22.0521087,down,1,1.0022568,None,4,22.0566216,22.0672052,22.0672052,23.7012925,3,1.62882,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
2,0,2,up,1,1.4719286,None,0,5,2.2271891,2,0,2,0,23.7201722,,,,,23.7015206,23.7201722,24.7040253,24.7174004,26.1853441,up,1,1.4719286,None,0,26.190954,26.2022135,26.2022135,28.4341145,5,2.2271891,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
3,0,3,down,1,1.1604729,None,1,2.981481481,2.9623404,3,0,3,0,28.4530138,,,,,28.4343365,28.4530138,29.4364942,29.4502491,30.6007717,down,1,1.1604729,None,1,30.604763,30.6165787,30.6165787,33.583545,2.981481481,2.9623404,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
4,0,4,down,1,0.9791724,None,-5,3.922222222,2.9477389,4,0,4,0,33.6027343,,,,,33.583771,33.6027343,34.5859166,34.5997747,35.5672255,down,1,0.9791724,None,-5,35.5703162,35.5827608,35.5827608,38.533062,3.922222222,2.9477389,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
5,0,5,down,1,1.7145293,None,9,5,1.9298779,5,0,5,0,38.5519554,,,,,38.5332651,38.5519554,39.5356348,39.5489627,41.2669527,down,1,1.7145293,None,9,41.270432,41.2820518,41.2820518,43.2156734,5,1.9298779,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
6,0,6,up,0,1.3029717,None,-3,4.037037037,1.7940319,6,0,6,0,43.2350533,,,,,43.215881,43.2350533,44.21855,44.2321747,45.5336136,up,0,1.3029717,None,-3,45.5385485,45.5494714,45.5494714,47.3488989,4.037037037,1.7940319,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
7,0,7,up,0,1.1218045,None,-3,3.940740741,1.2447048,7,0,7,0,47.3676071,,,,,47.3491359,47.3676071,48.3515454,48.3651427,49.4825165,up,0,1.1218045,None,-3,49.4876049,49.4999706,49.4999706,50.7483514,3.940740741,1.2447048,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
8,0,8,down,1,0.6950205,None,5,5,1.8126125,8,0,8,0,50.7678243,,,,,50.7485603,50.7678243,51.7511799,51.7642415,52.4487673,down,1,0.6950205,None,5,52.4529372,52.4641224,52.4641224,54.2814184,5,1.8126125,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
