thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,Instructions.stopped,trial.started,Fixation.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,rating.started,slider.started,text_2.started,rating.stopped,trials.slider.response,trials.slider.rt,Thankyou.started,text_3.started,text_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0033836000075098127,0.009720200003357604,15.004146999999648,,,,,,,,,,,,,,,,,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
0,0,0,down,1,0.8151376000023447,None,7,5,2.6026910999935353,0,0,0,0,15.022710200006259,,,,,15.009630300002755,15.022710200006259,16.041721800007508,16.046917500003474,16.9666789000039,down,1,0.8151376000023447,None,7,16.96765810000943,16.975610100009362,16.975610100009362,19.585983600001782,5,2.6026910999935353,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
1,0,1,up,1,1.7517852999881143,None,0,5,1.2116400999948382,1,0,1,0,19.605042199997115,,,,,19.586191499998677,19.605042199997115,20.588266100006877,20.60218440000608,22.35302870000305,up,1,1.7517852999881143,None,0,22.357550600005197,22.369492800004082,22.369492800004082,23.58583890000591,5,1.2116400999948382,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
2,0,2,up,1,0.7613758000079542,None,0,5,1.1307740999909583,2,0,2,0,23.60493800000404,,,,,23.586061000009067,23.60493800000404,24.588066800002707,24.601765300001716,25.352216700004647,up,1,0.7613758000079542,None,0,25.355832300003385,25.368152299997746,25.368152299997746,26.501732500008075,5,1.1307740999909583,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
3,0,3,up,1,2.8405409999977564,None,0,5,0.9828952999960165,3,0,3,0,26.520819199999096,,,,,26.501901600000565,26.520819199999096,27.50473580000107,27.517965400009416,30.351267699996242,up,1,2.8405409999977564,None,0,30.352247500006342,30.36729209999612,30.36729209999612,31.351609300007112,5,0.9828952999960165,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
4,0,4,up,1,0.7843393999937689,None,0,5,1.1799400999880163,4,0,4,0,31.370721800005413,,,,,31.351948299998185,31.370721800005413,32.35402189999877,32.36749810000765,33.15140370000154,up,1,0.7843393999937689,None,0,33.155068799998844,33.167426600004546,33.167426600004546,34.351271400009864,5,1.1799400999880163,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
5,0,5,down,0,0.9095773000008194,None,0,3.025925925925926,2.7268883000069764,5,0,5,0,34.369974800007185,,,,,34.3514528000087,34.369974800007185,35.354103600009694,35.3677677000087,36.26897920000192,down,0,0.9095773000008194,None,0,36.275023299996974,36.2863045999984,36.2863045999984,39.01743560000614,3.025925925925926,2.7268883000069764,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
6,0,6,up,1,0.7259997999935877,None,0,5.0,1.7294049999909475,6,0,6,0,39.03651940000418,,,,,39.017618500001845,39.03651940000418,40.02001590000873,40.033595600005356,40.750826100003906,up,1,0.7259997999935877,None,0,40.75483200000599,40.76666930000647,40.76666930000647,42.500625200002105,5.0,1.7294049999909475,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
7,0,7,up,1,0.8781817999988561,None,0,4.040740740740741,2.6301985000027344,7,0,7,0,42.51953649999632,,,,,42.50084510000306,42.51953649999632,43.50288630000432,43.516350200006855,44.38410350000777,up,1,0.8781817999988561,None,0,44.38722859999689,44.39937230000214,44.39937230000214,47.03380430000834,4.040740740740741,2.6301985000027344,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
8,0,8,down,1,0.7134568000037689,None,-1,5,1.0615015999937896,8,0,8,0,47.05288610000571,,,,,47.03398740000557,47.05288610000571,48.03575750000891,48.04942000001029,48.7510489999986,down,1,0.7134568000037689,None,-1,48.75543079999625,48.76584420001018,48.76584420001018,49.833037300006254,5,1.0615015999937896,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
