thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,text.stopped,Instructions.stopped,trial.started,Fixation.started,Fixation.stopped,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,rating.started,slider.started,text_2.started,rating.stopped,trials.slider.response,trials.slider.rt,Thankyou.started,text_3.started,text_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0030246999813243747,0.008723099977942184,15.010539399983827,14.992018999997526,,,,,,,,,,,,,,,,,,,,,03,001,2025-11-10_12h40.16.967,solo project,,2025.1.1,60.079437035022096,2025-11-10 12h40.29.337008 +0530,
0,0,0,down,1,0.8069585999764968,None,-4,5,1.7125193999963813,0,0,0,0,15.010539399983827,,,,,,14.9931289999804,15.010539399983827,16.007819699996617,16.007819699996617,16.894876499980455,down,1,0.8069585999764968,None,-4,16.895818599994527,16.902717599994503,16.902717599994503,18.624739999999292,5,1.7125193999963813,,,,,03,001,2025-11-10_12h40.16.967,solo project,,2025.1.1,60.079437035022096,2025-11-10 12h40.29.337008 +0530,
1,0,1,up,0,0.849125799984904,None,3,1.9925925925925927,2.333255600009579,1,0,1,0,18.643714799982263,,,,,,18.62500089997775,18.643714799982263,19.640417699993122,19.62681389998761,20.490524799999548,up,0,0.849125799984904,None,3,20.491399799997453,20.50709579998511,20.50709579998511,22.84079980000388,1.9925925925925927,2.333255600009579,,,,,03,001,2025-11-10_12h40.16.967,solo project,,2025.1.1,60.079437035022096,2025-11-10 12h40.29.337008 +0530,
2,0,2,up,1,0.7033961999986786,None,0,5,1.5666408000106458,2,0,2,0,22.860132899979362,,,,,,22.841031499992823,22.860132899979362,23.85670969999046,23.843330200004857,24.556856999988668,up,1,0.7033961999986786,None,0,24.55786979998811,24.573199000005843,24.573199000005843,26.140710699983174,5,1.5666408000106458,,,,,03,001,2025-11-10_12h40.16.967,solo project,,2025.1.1,60.079437035022096,2025-11-10 12h40.29.337008 +0530,
3,0,3,down,1,0.5162371999758761,None,8,5,1.182838200009428,3,0,3,0,26.159588099981192,,,,,,26.140958999982104,26.159588099981192,27.156478599994443,27.142736599984346,27.673221699980786,down,1,0.5162371999758761,None,8,27.67432479999843,27.689443899987964,27.689443899987964,28.873530599987134,5,1.182838200009428,,,,,03,001,2025-11-10_12h40.16.967,solo project,,2025.1.1,60.079437035022096,2025-11-10 12h40.29.337008 +0530,
4,0,4,down,0,1.204828699992504,None,0,4.059259259259259,2.249684000009438,4,0,4,0,28.89293760000146,,,,,,28.873758899979293,28.89293760000146,29.889643300004536,29.876000399992336,31.089715399983106,down,0,1.204828699992504,None,0,31.09070729999803,31.105925299983937,31.105925299983937,33.35661170000094,4.059259259259259,2.249684000009438,,,,,03,001,2025-11-10_12h40.16.967,solo project,,2025.1.1,60.079437035022096,2025-11-10 12h40.29.337008 +0530,
5,0,5,up,1,0.5693136999907438,None,0,5,0.8960549999901559,5,0,5,0,33.37547440000344,,,,,,33.35690179999801,33.37547440000344,34.37284799999907,34.3593278999906,34.94003779999912,up,1,0.5693136999907438,None,0,34.943788299977314,34.955770100001246,34.955770100001246,35.85662869998487,5,0.8960549999901559,,,,,03,001,2025-11-10_12h40.16.967,solo project,,2025.1.1,60.079437035022096,2025-11-10 12h40.29.337008 +0530,
6,0,6,down,1,0.7284718000155408,None,7,4.018518518518519,2.130081200011773,6,0,6,0,35.87509479999426,,,,,,35.85681569998269,35.87509479999426,36.87255169998389,36.85913120000623,37.58939079998527,down,1,0.7284718000155408,None,7,37.59342609997839,37.60553609998897,37.60553609998897,39.739163799997186,4.018518518518519,2.130081200011773,,,,,03,001,2025-11-10_12h40.16.967,solo project,,2025.1.1,60.079437035022096,2025-11-10 12h40.29.337008 +0530,
7,0,7,down,1,0.5696717000100762,None,-6,5,2.5131960999860894,7,0,7,0,39.75827799999388,,,,,,39.73939149998478,39.75827799999388,40.7552536999865,40.74152719997801,41.322599799983436,down,1,0.5696717000100762,None,-6,41.32603120000567,41.33839759998955,41.33839759998955,43.85571149998577,5,2.5131960999860894,,,,,03,001,2025-11-10_12h40.16.967,solo project,,2025.1.1,60.079437035022096,2025-11-10 12h40.29.337008 +0530,
8,0,8,up,1,0.673822199983988,None,0,5,1.0806142000074033,8,0,8,0,43.87440149998292,,,,,,43.85596759998589,43.87440149998292,44.871664000005694,44.85804739999003,45.53850229998352,up,1,0.673822199983988,None,0,45.541570400004275,45.55465059998096,45.55465059998096,46.6386164999858,5,1.0806142000074033,,,,,03,001,2025-11-10_12h40.16.967,solo project,,2025.1.1,60.079437035022096,2025-11-10 12h40.29.337008 +0530,
9,0,9,down,1,0.6935152999940328,None,-8,5,1.0829476000217255,9,0,9,0,46.65759610000532,,,,,,46.63884919998236,46.65759610000532,47.65442429998075,47.64084710000316,48.33799519998138,down,1,0.6935152999940328,None,-8,48.339103799982695,48.35422280000057,48.35422280000057,49.43842689998564,5,1.0829476000217255,,,,,03,001,2025-11-10_12h40.16.967,solo project,,2025.1.1,60.079437035022096,2025-11-10 12h40.29.337008 +0530,
10,0,10,down,1,0.7014808000240009,None,-4,5,1.1626117999840062,10,0,10,0,49.45743599999696,,,,,,49.438672299991595,49.45743599999696,50.45436579998932,50.440781099983724,51.15519510000013,down,1,0.7014808000240009,None,-4,51.159152499982156,51.170943799981615,51.170943799981615,52.33772630000021,5,1.1626117999840062,,,,,03,001,2025-11-10_12h40.16.967,solo project,,2025.1.1,60.079437035022096,2025-11-10 12h40.29.337008 +0530,
11,0,11,down,1,1.0764749000081792,None,-2,4.014814814814815,1.5802896000095643,11,0,11,0,52.35700519999955,,,,,,52.337896399985766,52.35700519999955,53.35396749997744,53.340417800005525,54.42115320000448,down,1,1.0764749000081792,None,-2,54.42441350000445,54.436805299978005,54.436805299978005,56.02089590000105,4.014814814814815,1.5802896000095643,,,,,03,001,2025-11-10_12h40.16.967,solo project,,2025.1.1,60.079437035022096,2025-11-10 12h40.29.337008 +0530,
12,0,12,down,1,0.7084306000033394,None,-7,5,1.1805131000000983,12,0,12,0,56.03986910000094,,,,,,56.02113039998221,56.03986910000094,57.0370891999919,57.02354729999206,57.73736889997963,down,1,0.7084306000033394,None,-7,57.74048649999895,57.753598499984946,57.753598499984946,58.93756369999028,5,1.1805131000000983,,,,,03,001,2025-11-10_12h40.16.967,solo project,,2025.1.1,60.079437035022096,2025-11-10 12h40.29.337008 +0530,
13,0,13,up,1,0.7312565000029281,None,0,5,1.199941900005797,13,0,13,0,58.95622540000477,,,,,,58.93789909998304,58.95622540000477,59.95285020000301,59.93978139999672,60.68654569998034,up,1,0.7312565000029281,None,0,60.68760819997988,60.70278829999734,60.70278829999734,61.90377569998964,5,1.199941900005797,,,,,03,001,2025-11-10_12h40.16.967,solo project,,2025.1.1,60.079437035022096,2025-11-10 12h40.29.337008 +0530,
