pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,seq.thisRepN,seq.thisTrialN,seq.thisN,seq.thisIndex,ran.thisRepN,ran.thisTrialN,ran.thisN,ran.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,seq.key_resp.keys,seq.key_resp.corr,seq.key_resp.rt,seq.key_resp.duration,trial2.started,fixation2.started,lineA.started,lineB.started,lineC.started,lineD.started,fixation2.stopped,probe2.started,key_resp_2.started,trial2.stopped,ran.key_resp_2.keys,ran.key_resp_2.corr,ran.key_resp_2.rt,ran.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
-50,x,0,0,0,x,1,1.2390378,None,,,,,0,0,0,0,,,,,0.0199616,,0.0161617,0.0199616,1.0085186,1.0085186,1.0085186,1.0085186,1.0248442,2.0086804,2.0086804,3.2785275,x,1,1.2390378,None,,,,,,,,,,,,,,,5,1,2025-10-03_16h02.32.470,motorselection,,2025.1.1,59.88375366,2025-10-03 16h02.39.754393 +0530
150,v,1,1,0,v,1,1.3943457,None,,,,,0,1,1,1,,,,,3.2852022,,3.2796443,3.2852022,4.2926874,4.2926874,4.2926874,4.2926874,4.2926874,5.2928272,5.2928272,6.6939854,v,1,1.3943457,None,,,,,,,,,,,,,,,5,1,2025-10-03_16h02.32.470,motorselection,,2025.1.1,59.88375366,2025-10-03 16h02.39.754393 +0530
50,c,2,2,0,c,1,0.6202264,None,,,,,0,2,2,2,,,,,6.7090923,,6.6952583,6.7090923,7.7090534,7.7090534,7.7090534,7.7090534,7.7090534,8.7090824,8.7090824,9.3430494,c,1,0.6202264,None,,,,,,,,,,,,,,,5,1,2025-10-03_16h02.32.470,motorselection,,2025.1.1,59.88375366,2025-10-03 16h02.39.754393 +0530
-150,z,3,3,0,z,1,0.5652794,None,,,,,0,3,3,3,,,,,9.3585181,,9.3438718,9.3585181,10.358691,10.358691,10.358691,10.358691,10.358691,11.3583678,11.3583678,11.9257043,z,1,0.5652794,None,,,,,,,,,,,,,,,5,1,2025-10-03_16h02.32.470,motorselection,,2025.1.1,59.88375366,2025-10-03 16h02.39.754393 +0530
-50,x,4,0,1,x,1,0.9272879,None,,,,,1,0,4,0,,,,,11.941458,,11.9264511,11.941458,12.9251058,12.9251058,12.9251058,12.9251058,12.9419361,13.941328,13.941328,14.8765153,x,1,0.9272879,None,,,,,,,,,,,,,,,5,1,2025-10-03_16h02.32.470,motorselection,,2025.1.1,59.88375366,2025-10-03 16h02.39.754393 +0530
150,v,5,1,1,v,1,2.9486518,None,,,,,1,1,5,1,,,,,14.8914917,,14.8777981,14.8914917,15.8911259,15.8911259,15.8911259,15.8911259,15.8911259,16.8914447,16.8914447,19.8417411,v,1,2.9486518,None,,,,,,,,,,,,,,,5,1,2025-10-03_16h02.32.470,motorselection,,2025.1.1,59.88375366,2025-10-03 16h02.39.754393 +0530
50,c,6,2,1,c,1,0.6069569,None,,,,,1,2,6,2,,,,,19.8573658,,19.8427209,19.8573658,20.8414237,20.8414237,20.8414237,20.8414237,20.8578326,21.8640168,21.8640168,22.4738647,c,1,0.6069569,None,,,,,,,,,,,,,,,5,1,2025-10-03_16h02.32.470,motorselection,,2025.1.1,59.88375366,2025-10-03 16h02.39.754393 +0530
-150,z,7,3,1,z,1,0.5127562,None,,,,,1,3,7,3,,,,,22.4898992,,22.474241,22.4898992,23.4732013,23.4732013,23.4732013,23.4732013,23.4899915,24.4730529,24.4730529,24.9908041,z,1,0.5127562,None,,,,,,,,,,,,,,,5,1,2025-10-03_16h02.32.470,motorselection,,2025.1.1,59.88375366,2025-10-03 16h02.39.754393 +0530
-50,x,8,0,2,x,1,0.3526655,None,,,,,2,0,8,0,,,,,25.0066046,,24.9912842,25.0066046,26.0067445,26.0067445,26.0067445,26.0067445,26.0067445,26.9904661,26.9904661,27.3586927,x,1,0.3526655,None,,,,,,,,,,,,,,,5,1,2025-10-03_16h02.32.470,motorselection,,2025.1.1,59.88375366,2025-10-03 16h02.39.754393 +0530
150,v,9,1,2,v,1,0.3190109,None,,,,,2,1,9,1,,,,,27.3736976,,27.3603164,27.3736976,28.3734504,28.3734504,28.3734504,28.3734504,28.3734504,29.3729716,29.3729716,29.7084265,v,1,0.3190109,None,,,,,,,,,,,,,,,5,1,2025-10-03_16h02.32.470,motorselection,,2025.1.1,59.88375366,2025-10-03 16h02.39.754393 +0530
