word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,text_2.started,Instruction.stopped,trial.started,Fixation.started,Fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thankyou.started,text_3.started,text_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.00295590003952384,0.008763800142332911,1.006093200063333,,,,,,,,,,,,,,,1,001,2025-08-24_22h45.58.870,strooptask_1,,2025.1.1,60.17354049524826,2025-08-24 22h46.17.095414 +0530,
BLUE,red,I,r,0,0,0,r,1,0.9749231999740005,None,0,0,0,2,1.0373035001102835,,,,,1.0330554000101984,1.0373035001102835,1.5058117001317441,1.5058117001317441,1.5058117001317441,2.5876682000234723,r,1,0.9749231999740005,None,,,,,1,001,2025-08-24_22h45.58.870,strooptask_1,,2025.1.1,60.17354049524826,2025-08-24 22h46.17.095414 +0530,
RED,red,C,r,1,1,0,r,1,1.6551864000502974,None,0,1,1,0,2.6005830001085997,,,,,2.5968258001375943,2.6005830001085997,3.08885270007886,3.08885270007886,3.08885270007886,4.755706900032237,r,1,1.6551864000502974,None,,,,,1,001,2025-08-24_22h45.58.870,strooptask_1,,2025.1.1,60.17354049524826,2025-08-24 22h46.17.095414 +0530,
RED,blue,I,b,2,2,0,r,0,0.8918083000462502,None,0,2,2,1,4.771797300083563,,,,,4.756158000091091,4.771797300083563,5.255725600058213,5.255725600058213,5.255725600058213,6.155829299939796,r,0,0.8918083000462502,None,,,,,1,001,2025-08-24_22h45.58.870,strooptask_1,,2025.1.1,60.17354049524826,2025-08-24 22h46.17.095414 +0530,
BLUE,blue,C,b,3,3,0,b,1,1.044798200018704,None,0,3,3,3,6.171739000128582,,,,,6.158014799933881,6.171739000128582,6.655221699969843,6.655221699969843,6.655221699969843,7.705619200132787,b,1,1.044798200018704,None,,,,,1,001,2025-08-24_22h45.58.870,strooptask_1,,2025.1.1,60.17354049524826,2025-08-24 22h46.17.095414 +0530,
RED,red,C,r,4,0,1,r,1,0.8390476000495255,None,1,0,4,0,7.721542499959469,,,,,7.707959700142965,7.721542499959469,8.20523459999822,8.20523459999822,8.20523459999822,9.055591200012714,r,1,0.8390476000495255,None,,,,,1,001,2025-08-24_22h45.58.870,strooptask_1,,2025.1.1,60.17354049524826,2025-08-24 22h46.17.095414 +0530,
BLUE,red,I,r,5,1,1,b,0,0.7427117999177426,None,1,1,5,2,9.071296599926427,,,,,9.057724999962375,9.071296599926427,9.554878199938685,9.554878199938685,9.554878199938685,10.305287300143391,b,0,0.7427117999177426,None,,,,,1,001,2025-08-24_22h45.58.870,strooptask_1,,2025.1.1,60.17354049524826,2025-08-24 22h46.17.095414 +0530,
RED,blue,I,b,6,2,1,b,1,1.1335316998884082,None,1,2,6,1,10.321172200143337,,,,,10.307530800113454,10.321172200143337,10.804836600087583,10.804836600087583,10.804836600087583,11.95477159996517,b,1,1.1335316998884082,None,,,,,1,001,2025-08-24_22h45.58.870,strooptask_1,,2025.1.1,60.17354049524826,2025-08-24 22h46.17.095414 +0530,
BLUE,blue,C,b,7,3,1,b,1,0.45828500017523766,None,1,3,7,3,11.971093700034544,,,,,11.95707350014709,11.971093700034544,12.454248300055042,12.454248300055042,12.454248300055042,12.921091800089926,b,1,0.45828500017523766,None,,,,,1,001,2025-08-24_22h45.58.870,strooptask_1,,2025.1.1,60.17354049524826,2025-08-24 22h46.17.095414 +0530,
RED,blue,I,b,8,0,2,b,1,1.2429378000088036,None,2,0,8,1,12.93772909999825,,,,,12.923325200099498,12.93772909999825,13.420921300072223,13.420921300072223,13.420921300072223,14.671061699977145,b,1,1.2429378000088036,None,,,,,1,001,2025-08-24_22h45.58.870,strooptask_1,,2025.1.1,60.17354049524826,2025-08-24 22h46.17.095414 +0530,
