imagefile,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,Fixation.started,image.started,Fixation.stopped,image.stopped,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,rating.started,slider.started,text_2.started,rating.stopped,trials.slider.response,trials.slider.rt,Thankyou.started,text_3.started,text_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,0.0034653,0.0088952,1.0065129,8.5467072,space,7.5043209,None,,,,,,,,,,,,,,,,,,,,,,,emo01,1,2025-11-11_17h00.29.130,solo project_version2,,2025.1.1,60.01381518,2025-11-11 17h00.38.203431 +0530
D:\happyimage2.jpeg,0,0,0,up,1,1.1758885,None,0,5,1.5109229,0,0,0,1,8.6136984,,,,,,,,,8.6014577,8.6136984,9.5704875,9.6221194,10.0717331,10.1553775,11.3397828,up,1,1.1758885,None,0,11.3450815,11.3665668,11.3665668,12.8618117,5,1.5109229,,,,,emo01,1,2025-11-11_17h00.29.130,solo project_version2,,2025.1.1,60.01381518,2025-11-11 17h00.38.203431 +0530
D:\sadimage7.jpeg,1,1,0,up,1,1.2957796,None,0,4.040740741,1.1402716,0,1,1,13,12.8750292,,,,,,,,,12.8644612,12.8750292,13.8718693,13.8718693,14.3712764,14.4714637,15.7731776,up,1,1.2957796,None,0,15.7773088,15.7876982,15.7876982,16.9232148,4.040740741,1.1402716,,,,,emo01,1,2025-11-11_17h00.29.130,solo project_version2,,2025.1.1,60.01381518,2025-11-11 17h00.38.203431 +0530
D:\happyimage4.jpeg,2,2,0,up,1,0.5705625,None,0,5,1.5623702,0,2,2,3,16.9416514,,,,,,,,,16.9351871,16.9416514,17.9244332,17.9381994,18.4373269,18.5375964,19.1218769,up,1,0.5705625,None,0,19.1258013,19.1371569,19.1371569,20.7044915,5,1.5623702,,,,,emo01,1,2025-11-11_17h00.29.130,solo project_version2,,2025.1.1,60.01381518,2025-11-11 17h00.38.203431 +0530
D:\sadimage1.jpeg,3,3,0,up,1,0.7826742,None,0,4.018518519,1.7456031,0,3,3,7,20.7243856,,,,,,,,,20.7075018,20.7243856,21.7073587,21.7211397,22.2202984,22.3038722,23.0883938,up,1,0.7826742,None,0,23.0926107,23.1038421,23.1038421,24.8545834,4.018518519,1.7456031,,,,,emo01,1,2025-11-11_17h00.29.130,solo project_version2,,2025.1.1,60.01381518,2025-11-11 17h00.38.203431 +0530
D:\happyimage1.jpeg,4,4,0,up,1,0.2370429,None,0,5,1.1826964,0,4,4,0,24.873675,,,,,,,,,24.8579967,24.873675,25.8569338,25.8702109,26.3698116,26.4695679,26.7203591,up,1,0.2370429,None,0,26.7217522,26.7362334,26.7362334,27.9208724,5,1.1826964,,,,,emo01,1,2025-11-11_17h00.29.130,solo project_version2,,2025.1.1,60.01381518,2025-11-11 17h00.38.203431 +0530
D:\happyimage5.jpeg,5,5,0,up,1,0.4448845,None,0,5,0.9665315,0,5,5,4,27.9394173,,,,,,,,,27.9243084,27.9394173,28.9228534,28.9368664,29.4358662,29.5363366,29.9862221,up,1,0.4448845,None,0,29.988099,30.0024342,30.0024342,30.9701901,5,0.9665315,,,,,emo01,1,2025-11-11_17h00.29.130,solo project_version2,,2025.1.1,60.01381518,2025-11-11 17h00.38.203431 +0530
D:\sadimage3.jpeg,6,6,0,up,1,0.7855956,None,0,4.007407407,2.5298934,0,6,6,9,30.989187,,,,,,,,,30.9723016,30.989187,31.9726949,31.9864754,32.4858642,32.5694278,33.3701968,up,1,0.7855956,None,0,33.373436,33.3856319,33.3856319,35.9196214,4.007407407,2.5298934,,,,,emo01,1,2025-11-11_17h00.29.130,solo project_version2,,2025.1.1,60.01381518,2025-11-11 17h00.38.203431 +0530
D:\sadimage2.jpeg,7,7,0,down,1,0.8777113,None,-8,4,1.9800462,0,7,7,8,35.9391974,,,,,,,,,35.9219597,35.9391974,36.9223362,36.9358954,37.4353534,37.518797,38.4027326,down,1,0.8777113,None,-8,38.4062133,38.4187864,38.4187864,40.402678,4,1.9800462,,,,,emo01,1,2025-11-11_17h00.29.130,solo project_version2,,2025.1.1,60.01381518,2025-11-11 17h00.38.203431 +0530
D:\sadimage6.jpeg,8,8,0,up,1,1.7577444,None,0,4,1.2789217,0,8,8,12,40.4216437,,,,,,,,,40.4070935,40.4216437,41.405317,41.4189951,41.9182785,42.0186074,43.7861855,up,1,1.7577444,None,0,43.7908165,43.802284,43.802284,45.0853077,4,1.2789217,,,,,emo01,1,2025-11-11_17h00.29.130,solo project_version2,,2025.1.1,60.01381518,2025-11-11 17h00.38.203431 +0530
