imagefile,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,Fixation.started,image.started,Fixation.stopped,image.stopped,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,rating.started,slider.started,text_2.started,rating.stopped,trials.slider.response,trials.slider.rt,Thankyou.started,text_3.started,text_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0031256999354809523,0.008813199936412275,1.010748100001365,1.8601815999718383,space,0.8192590000107884,None,,,,,,,,,,,,,,,,,,,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
D:\sadimage7.jpeg,0,0,0,down,1,1.6483779000118375,None,5,2.985185185185185,2.9452016999712214,0,0,0,13,1.9179691999452189,,,,,,,,,1.9075480999890715,1.9179691999452189,2.8705384999047965,2.926987599930726,3.376344899996184,3.4600356000009924,5.1108490999322385,down,1,1.6483779000118375,None,5,5.11508109990973,5.136137899942696,5.136137899942696,8.076479599927552,2.985185185185185,2.9452016999712214,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
D:\sadimage5.jpeg,1,1,0,down,1,1.588873800006695,None,1,1.9962962962962962,5.447278099949472,0,1,1,11,8.095833999919705,,,,,,,,,8.078929499955848,8.095833999919705,9.079421199974604,9.093216300010681,9.592613199958578,9.676154799992219,11.276051199994981,down,1,1.588873800006695,None,1,11.279261199990287,11.291826999979094,11.291826999979094,16.742537099984474,1.9962962962962962,5.447278099949472,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
D:\happyimage2.jpeg,2,2,0,up,0,2.0284598000580445,None,-1,5,3.0642603000160307,0,2,2,1,16.761683499906212,,,,,,,,,16.746175799984485,16.761683499906212,17.745242599979974,17.75852249993477,18.25815619993955,18.35838489991147,20.39213860000018,up,0,2.0284598000580445,None,-1,20.39518439990934,20.40817289997358,20.40817289997358,23.47547049995046,5,3.0642603000160307,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
D:\happyimage1.jpeg,3,3,0,up,1,0.9428436999442056,None,0,5,2.378282600082457,0,3,3,0,23.494237300008535,,,,,,,,,23.477949799969792,23.494237300008535,24.47777999995742,24.49134939990472,24.990786699927412,25.091095299925655,26.04253739991691,up,1,0.9428436999442056,None,0,26.046606899937615,26.05723609996494,26.05723609996494,28.441048400010914,5,2.378282600082457,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
D:\sadimage1.jpeg,4,4,0,down,1,1.9676969000138342,None,-9,2.0037037037037035,2.1109962000045925,0,4,4,7,28.460872099967673,,,,,,,,,28.444455899996683,28.460872099967673,29.44404139998369,29.457603699993342,29.956986199948005,30.040610699914396,32.02521140000317,down,1,1.9676969000138342,None,-9,32.03005099995062,32.04034139995929,32.04034139995929,34.157685599988326,2.0037037037037035,2.1109962000045925,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
D:\happyimage3.jpeg,5,5,0,down,1,0.6982957000145689,None,3,5,3.6779524000594392,0,5,5,2,34.17682229995262,,,,,,,,,34.16018419992179,34.17682229995262,35.16004649992101,35.17364029993769,35.6731773999054,35.77337549999356,36.474517199909315,down,1,0.6982957000145689,None,3,36.47917679999955,36.48962389992084,36.48962389992084,40.17336879996583,5,3.6779524000594392,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
D:\happyimage7.jpeg,6,6,0,up,1,0.8652792000211775,None,0,5,2.2628181000472978,0,6,6,6,40.192546600010246,,,,,,,,,40.175975999911316,40.192546600010246,41.176142799900845,41.1899133999832,41.68907630001195,41.789357999921776,42.65701640001498,up,1,0.8652792000211775,None,0,42.66085419990122,42.67262739990838,42.67262739990838,44.93965459999163,5,2.2628181000472978,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
D:\happyimage5.jpeg,7,7,0,down,1,0.6314038001000881,None,-8,5,0.7957269999897107,0,7,7,4,44.95890889992006,,,,,,,,,44.941991699975915,44.95890889992006,45.94242789992131,45.95601309998892,46.455440099933185,46.55578179995064,47.19005019997712,down,1,0.6314038001000881,None,-8,47.194269399973564,47.20568069990259,47.20568069990259,48.00601989997085,5,0.7957269999897107,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
D:\happyimage6.jpeg,8,8,0,down,1,0.5450164000503719,None,-9,3.977777777777778,3.362363599939272,0,8,8,5,48.02546569996048,,,,,,,,,48.00898629997391,48.02546569996048,49.008737699943595,49.022562099969946,49.52192590001505,49.60532430000603,50.15617969993036,down,1,0.5450164000503719,None,-9,50.160183299914934,50.17182639997918,50.17182639997918,53.53883989993483,3.977777777777778,3.362363599939272,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
