key_resp.corr,sequential,random,,,,Participant,Sequential Mean,Random Mean,Mean Difference
1,1.3512987,0.3470836,0,,,1,0.339054965,0.53518365,0.196128685
1,0.617875,0.3115832,1,,,2,0.777620389,0.64323331,-0.134387079
1,0.3584851,0.3437505,1,,,3,0.552524235,0.58611018,0.033585945
1,0.3390495,0.4552838,0,,,4,0.572956255,0.78556455,0.212608295
1,0.4595733,0.3537144,1,,,5,0.367449086,0.47805367,0.110604584
1,0.2967031,0.5738459,1,,,aggregate mean,0.521920986,0.605629072,0.083708086
1,0.2665958,1.105438,1,,,,,,
1,0.3160692,0.4144694,1,,,,,,
1,0.4752331,0.4846642,1,,,,,,
1,0.3459826,0.4220991,1,,,,,,
1,0.9534609,0.5030357,1,,,,,,
1,0.8278869,0.5962596,1,,,,,,
1,1.4050732,0.4031029,1,,,,,,
1,0.4318113,0.4194298,1,,,,,,
1,0.3208338,0.4249053,1,,,,,,
1,0.7853611,0.3918479,1,,,,,,
1,1.4864812,0.5478726,1,,,,,,
1,0.3669942,0.4490171,1,,,,,,
1,0.3706925,0.3389374,0,,,,,,
1,0.4245905,0.3849826,1,,,,,,
1,0.4453236,0.4147652,1,,,,,,
1,0.321099,0.3489692,1,,,,,,
1,0.3575845,0.3876355,1,,,,,,
1,0.3348339,0.4303387,1,,,,,,
1,0.3173569,0.7747194,1,,,,,,
1,0.3254734,0.518539,1,,,,,,
1,0.3834757,0.3848746,0,,,,,,
1,0.3796871,0.451424,1,,,,,,
1,0.8068053,0.4489977,1,,,,,,
1,0.3377179,0.7658926,1,,,,,,
1,0.3621216,1.179184,1,,,,,,
1,0.3592682,1.4546294,1,,,,,,
1,0.4746849,0.7469741,1,,,,,,
1,0.3470013,0.3527847,1,,,,,,
1,0.3867403,0.5307445,1,,,,,,
1,0.5120433,0.4393936,1,,,,,,
1,0.4161681,0.371275,1,,,,,,
1,0.3821268,0.4575045,1,,,,,,
1,0.2346035,0.4020274,1,,,,,,
1,0.879724,0.4507619,1,,,,,,
1,0.4103701,0.3627679,1,,,,,,
1,0.4539577,0.5952203,1,,,,,,
1,0.3221787,0.4657901,1,,,,,,
1,0.2600875,0.6205732,1,,,,,,
1,0.6179902,0.5765435,1,,,,,,
1,0.1948263,0.4655894,1,,,,,,
1,0.3648771,0.3567793,1,,,,,,
1,0.3248988,0.398497,0,,,,,,
1,0.3568104,0.6944691,1,,,,,,
1,0.319304,0.5764412,1,,,,,,
1,0.9371806,0.5857267,1,,,,,,
1,0.93628,0.4132334,0,,,,,,
1,0.8330124,0.5835009,1,,,,,,
1,0.3538355,0.5581013,1,,,,,,
1,0.314243,0.4388783,1,,,,,,
1,0.2637186,0.475097,1,,,,,,
1,0.3315779,0.4704798,1,,,,,,
1,0.3271258,0.3285934,1,,,,,,
